joint_name	[position]	[origin]	[quaternion]
head	[ 0.  0.  2.]	[0 0 2]	[1 0 0 0]
torso	[ 0.  0.  0.]	[0 0 0]	[1 0 0 0]
waist	[ 0.  0. -4.]	[ 0  0 -4]	[1 0 0 0]
right_shoulder	[ -1.66533454e-16  -2.97763845e+00   3.65608030e-01]	[3 0 0]	[-0.52959166897836207, -0.46854312944350485, 0.5295916689783623, 0.46854312944350512]
right_elbow	[ -3.87750515e-16  -4.96273076e+00   6.09346717e-01]	[5 0 0]	[-0.52959167 -0.46854313  0.52959167  0.46854313]
right_wrist	[ 1.96961551 -4.73034414  0.35125523]	[7 0 0]	[-0.91006914136935646, 0.4051888873517468, -0.035449434229960497, -0.079620732894590041]
left_shoulder	[-3.  0.  0.]	[-3  0  0]	[1 0 0 0]
left_elbow	[-5.  0.  0.]	[-5  0  0]	[1 0 0 0]
left_wrist	[-7.  0.  0.]	[-7  0  0]	[1 0 0 0]
