joint_name	[position]	[origin]	[quaternion]
head	[  9.46486271e-09  -2.96725585e-09   2.00000003e+00]	[0 0 2]	[1 0 0 0]
torso	[ 0.  0.  0.]	[0 0 0]	[1 0 0 0]
waist	[ 0.  0. -4.]	[ 0  0 -4]	[1 0 0 0]
right_shoulder	[ 3.  0.  0.]	[3 0 0]	[1 0 0 0]
right_elbow	[  2.34886368e+00   1.71116934e-17  -1.89103717e+00]	[5 0 0]	[-0.58070295571093977, -0.0, -0.81411551835631923, 0.0]
right_wrist	[  1.69772734e+00   8.59656128e-17  -3.78207441e+00]	[7 0 0]	[-0.58070296 -0.         -0.81411552  0.        ]
left_shoulder	[-3.  0.  0.]	[-3  0  0]	[1 0 0 0]
left_elbow	[-5.  0.  0.]	[-5  0  0]	[1 0 0 0]
left_wrist	[-7.  0.  0.]	[-7  0  0]	[1 0 0 0]
