joint_name	[position]	[origin]	[quaternion]
head	[  9.15933995e-16  -2.91433544e-16   2.00000000e+00]	[0 0 2]	[ 0.01920157  0.68045048 -0.21332278  0.70079372]
torso	[ 0.  0.  0.]	[0 0 0]	[1.0, 0.0, 0.0, 0.0]
waist	[ 0.  0. -4.]	[ 0  0 -4]	[1.0, 0.0, 0.0, 0.0]
right_shoulder	[ 0.87711511 -2.86891427  0.        ]	[3 0 0]	[0.80385686061721739, 0.0, 0.0, -0.59482278675134137]
right_elbow	[ 1.46185852 -4.78152378  0.        ]	[5 0 0]	[ 0.80385686  0.          0.         -0.59482279]
right_wrist	[ 2.04660193 -6.69413329  0.        ]	[7 0 0]	[ 0.80385686  0.          0.         -0.59482279]
left_shoulder	[-3.  0.  0.]	[-3  0  0]	[1.0, 0.0, 0.0, 0.0]
left_elbow	[-5.  0.  0.]	[-5  0  0]	[1.0, 0.0, 0.0, 0.0]
left_wrist	[-7.  0.  0.]	[-7  0  0]	[1.0, 0.0, 0.0, 0.0]
