AAAA-MM-DD HH-MM-SS.ssssss	Xac	Yac	Zac	Xgi	Ygi	Zgi	Xma	Yma	Zma	Wq	Iq	Jq	Kq	
2016-09-09 10:47:24.634730	
2016-09-09 10:47:24.634891	oi 41
2016-09-09 10:47:24.635030	oi 42
2016-09-09 10:47:24.635167	oi 43
2016-09-09 10:47:24.635301	oi 44
2016-09-09 10:47:24.635436	oi 45
2016-09-09 10:47:24.635603	oi 46
2016-09-09 10:47:24.635755	oi 47
2016-09-09 10:47:24.635888	oi 48
2016-09-09 10:47:24.636069	oi 49
2016-09-09 10:47:24.636203	oi 50
2016-09-09 10:47:24.636375	oi 51
2016-09-09 10:47:24.636529	oi 52
2016-09-09 10:47:24.636653	oi 53
2016-09-09 10:47:24.636774	oi 54
2016-09-09 10:47:24.636894	oi 55
2016-09-09 10:47:24.637014	oi 56
2016-09-09 10:47:24.637134	oi 57
2016-09-09 10:47:24.637254	oi 58
2016-09-09 10:47:24.637303	
2016-09-09 10:47:24.637423	oi 41
2016-09-09 10:47:24.637543	oi 42
2016-09-09 10:47:24.637663	oi 43
2016-09-09 10:47:24.637782	oi 44
2016-09-09 10:47:24.637901	oi 45
2016-09-09 10:47:24.638020	oi 46
2016-09-09 10:47:24.638140	oi 47
2016-09-09 10:47:24.638258	oi 48
2016-09-09 10:47:24.638378	oi 49
2016-09-09 10:47:24.638497	oi 50
2016-09-09 10:47:24.638616	oi 51
2016-09-09 10:47:24.638736	oi 52
2016-09-09 10:47:24.638855	oi 53
2016-09-09 10:47:24.638974	oi 54
2016-09-09 10:47:24.639094	oi 55
2016-09-09 10:47:24.639214	oi 56
2016-09-09 10:47:24.639334	oi 57
2016-09-09 10:47:24.639453	oi 58
2016-09-09 10:47:24.762634	oi 1
2016-09-09 10:47:24.861026	oi 2
2016-09-09 10:47:24.959320	oi 3
2016-09-09 10:47:25.061780	oi 4
2016-09-09 10:47:25.160054	oi 5
2016-09-09 10:47:25.262162	oi 6
2016-09-09 10:47:25.360678	oi 7
2016-09-09 10:47:25.462854	oi 8
2016-09-09 10:47:25.561449	oi 9
2016-09-09 10:47:25.659729	oi 10
2016-09-09 10:47:25.762107	oi 11
2016-09-09 10:47:25.860549	oi 12
2016-09-09 10:47:25.962730	oi 13
2016-09-09 10:47:26.061124	oi 14
2016-09-09 10:47:26.159438	oi 15
2016-09-09 10:47:26.261912	oi 16
2016-09-09 10:47:26.360293	oi 17
2016-09-09 10:47:26.462482	oi 18
2016-09-09 10:47:26.560832	oi 19
2016-09-09 10:47:26.663092	oi 20
2016-09-09 10:47:26.761678	oi 21
2016-09-09 10:47:26.859977	oi 22
2016-09-09 10:47:26.962184	oi 23
2016-09-09 10:47:27.060617	oi 24
2016-09-09 10:47:27.162724	oi 25
2016-09-09 10:47:27.261517	oi 26
2016-09-09 10:47:27.359435	oi 27
2016-09-09 10:47:27.461877	oi 28
2016-09-09 10:47:27.560464	oi 29
2016-09-09 10:47:27.662710	oi 30
2016-09-09 10:47:27.761079	oi 31
2016-09-09 10:47:27.859447	oi 32
2016-09-09 10:47:27.961887	oi 33
2016-09-09 10:47:28.060158	oi 34
2016-09-09 10:47:28.162409	oi 35
2016-09-09 10:47:28.260733	oi 36
2016-09-09 10:47:28.362975	oi 37
2016-09-09 10:47:28.461371	oi 38
2016-09-09 10:47:28.559893	oi 39
2016-09-09 10:47:28.662153	oi 40
2016-09-09 10:47:28.760572	oi 41
2016-09-09 10:47:28.862855	oi 42
2016-09-09 10:47:28.961360	oi 43
2016-09-09 10:47:29.059577	oi 44
2016-09-09 10:47:29.161792	oi 45
2016-09-09 10:47:29.260317	oi 46
2016-09-09 10:47:29.362449	oi 47
2016-09-09 10:47:29.460977	oi 48
2016-09-09 10:47:29.563097	oi 49
2016-09-09 10:47:29.661783	oi 50
2016-09-09 10:47:29.759985	oi 51
2016-09-09 10:47:29.862341	oi 52
2016-09-09 10:47:29.960723	oi 53
2016-09-09 10:47:30.062931	oi 54
2016-09-09 10:47:30.161470	oi 55
2016-09-09 10:47:30.259840	oi 56
2016-09-09 10:47:30.362097	oi 57
2016-09-09 10:47:30.460381	oi 58
2016-09-09 10:47:30.562684	oi 59
2016-09-09 10:47:30.661174	oi 60
2016-09-09 10:47:30.759533	oi 61
2016-09-09 10:47:30.862098	oi 62
2016-09-09 10:47:30.960337	oi 63
2016-09-09 10:47:31.062556	oi 64
2016-09-09 10:47:31.160936	oi 65
2016-09-09 10:47:31.263015	oi 66
2016-09-09 10:47:31.361628	oi 67
2016-09-09 10:47:31.460027	oi 68
2016-09-09 10:47:31.562214	oi 69
2016-09-09 10:47:31.660715	oi 70
2016-09-09 10:47:31.762812	oi 71
2016-09-09 10:47:31.861457	oi 72
2016-09-09 10:47:31.959786	oi 73
2016-09-09 10:47:32.062034	oi 74
2016-09-09 10:47:32.160438	oi 75
2016-09-09 10:47:32.262510	oi 76
2016-09-09 10:47:32.361049	oi 77
2016-09-09 10:47:32.459440	oi 78
2016-09-09 10:47:32.561784	oi 79
2016-09-09 10:47:32.660109	oi 80
2016-09-09 10:47:32.762332	oi 81
2016-09-09 10:47:32.860865	oi 82
2016-09-09 10:47:32.963024	oi 83
2016-09-09 10:47:33.061580	oi 84
2016-09-09 10:47:33.159819	oi 85
2016-09-09 10:47:33.262181	oi 86
2016-09-09 10:47:33.360621	oi 87
2016-09-09 10:47:33.462795	oi 88
2016-09-09 10:47:33.561305	oi 89
2016-09-09 10:47:33.659698	oi 90
2016-09-09 10:47:33.761932	oi 91
2016-09-09 10:47:33.860428	oi 92
2016-09-09 10:47:33.962508	oi 93
2016-09-09 10:47:34.061046	oi 94
2016-09-09 10:47:34.163222	oi 95
2016-09-09 10:47:34.261688	oi 96
2016-09-09 10:47:34.360087	oi 97
2016-09-09 10:47:34.462251	oi 98
2016-09-09 10:47:34.560693	oi 99
2016-09-09 10:47:34.663018	oi 100
2016-09-09 10:47:34.761707	oi 101
2016-09-09 10:47:34.859855	oi 102
2016-09-09 10:47:34.962135	oi 103
2016-09-09 10:47:35.060480	oi 104
2016-09-09 10:47:35.162715	oi 105
2016-09-09 10:47:35.261131	oi 106
2016-09-09 10:47:35.363366	oi 107
2016-09-09 10:47:35.461986	oi 108
2016-09-09 10:47:35.560247	oi 109
2016-09-09 10:47:35.662628	oi 110
2016-09-09 10:47:35.761056	oi 111
2016-09-09 10:47:35.863204	oi 112
2016-09-09 10:47:35.961712	oi 113
2016-09-09 10:47:36.060019	oi 114
2016-09-09 10:47:36.162294	oi 115
2016-09-09 10:47:36.260655	oi 116
2016-09-09 10:47:36.362982	oi 117
2016-09-09 10:47:36.461272	oi 118
2016-09-09 10:47:36.559737	oi 119
2016-09-09 10:47:36.662072	oi 120
2016-09-09 10:47:36.760466	oi 121
2016-09-09 10:47:36.862685	oi 122
2016-09-09 10:47:36.961238	oi 123
2016-09-09 10:47:37.063306	oi 124
2016-09-09 10:47:37.161909	oi 125
2016-09-09 10:47:37.260216	oi 126
2016-09-09 10:47:37.362489	oi 127
2016-09-09 10:47:37.460963	oi 128
2016-09-09 10:47:37.563088	oi 129
2016-09-09 10:47:37.661474	oi 130
