AAAA-MM-DD HH-MM-SS.ssssss	Value
2017-04-19 21:26:31.168269	3284
2017-04-19 21:26:31.168544	3265
2017-04-19 21:26:31.168799	3291
2017-04-19 21:26:31.169040	3289
2017-04-19 21:26:31.169274	3282
2017-04-19 21:26:31.172376	3296
2017-04-19 21:26:31.672493	2701
2017-04-19 21:26:31.673302	2709
2017-04-19 21:26:31.676296	2689
2017-04-19 21:26:31.676851	2696
2017-04-19 21:26:31.677312	2695
2017-04-19 21:26:31.677773	2687
2017-04-19 21:26:31.678171	2686
2017-04-19 21:26:31.680676	2685
2017-04-19 21:26:31.681197	2648
2017-04-19 21:26:31.681657	2688
2017-04-19 21:26:31.682113	2690
2017-04-19 21:26:31.684587	2687
2017-04-19 21:26:31.684989	2685
2017-04-19 21:26:31.685362	2683
2017-04-19 21:26:31.685723	2684
2017-04-19 21:26:31.688464	2682
2017-04-19 21:26:31.688801	2685
2017-04-19 21:26:31.689030	2687
2017-04-19 21:26:31.689251	2690
2017-04-19 21:26:31.689470	2683
2017-04-19 21:26:31.692708	2693
2017-04-19 21:26:31.692971	2683
2017-04-19 21:26:31.693198	2685
2017-04-19 21:26:31.693516	2681
2017-04-19 21:26:31.696820	2681
2017-04-19 21:26:31.697271	2676
2017-04-19 21:26:31.697756	2679
2017-04-19 21:26:31.698105	2674
2017-04-19 21:26:31.700721	2681
2017-04-19 21:26:31.701063	2672
2017-04-19 21:26:31.701449	2674
2017-04-19 21:26:31.701837	2676
2017-04-19 21:26:31.702119	2688
2017-04-19 21:26:31.704968	2680
2017-04-19 21:26:31.705377	2673
2017-04-19 21:26:31.705572	2659
2017-04-19 21:26:31.705769	2671
2017-04-19 21:26:31.709030	2671
2017-04-19 21:26:31.709350	2667
2017-04-19 21:26:32.208788	2184
2017-04-19 21:26:32.209095	2150
2017-04-19 21:26:32.212906	2187
2017-04-19 21:26:32.213178	2184
2017-04-19 21:26:32.213417	2185
2017-04-19 21:26:32.213650	2199
2017-04-19 21:26:32.217010	2188
2017-04-19 21:26:32.217281	2181
2017-04-19 21:26:32.217522	2145
2017-04-19 21:26:32.217756	2184
2017-04-19 21:26:32.220837	2182
2017-04-19 21:26:32.221210	2184
2017-04-19 21:26:32.221545	2185
2017-04-19 21:26:32.720909	2982
2017-04-19 21:26:32.724978	2989
2017-04-19 21:26:32.725439	2990
2017-04-19 21:26:32.725759	2997
2017-04-19 21:26:32.726044	2991
2017-04-19 21:26:32.726326	2997
2017-04-19 21:26:32.729132	3020
2017-04-19 21:26:32.729465	2989
2017-04-19 21:26:32.729757	2996
2017-04-19 21:26:32.730040	2992
2017-04-19 21:26:32.733130	3001
2017-04-19 21:26:32.733602	3000
2017-04-19 21:26:33.233178	3775
2017-04-19 21:26:33.233494	3780
2017-04-19 21:26:33.237136	3788
2017-04-19 21:26:33.237518	3790
2017-04-19 21:26:33.237851	3788
2017-04-19 21:26:33.238233	3792
2017-04-19 21:26:33.740916	4095
2017-04-19 21:26:33.741282	4095
2017-04-19 21:26:33.741569	4095
2017-04-19 21:26:33.741853	4095
2017-04-19 21:26:33.744829	4095
2017-04-19 21:26:34.244746	3689
2017-04-19 21:26:34.245123	3686
2017-04-19 21:26:34.248598	3685
2017-04-19 21:26:34.248941	3683
2017-04-19 21:26:34.249276	3676
